trial_id,illum,episode,target_color,success,success_gt,reason,sim_time,wall_time,ret_calls,ret_wall,picked_color
1,2e-06,0,red,1,1,success,3410.0,332.59359750000294,46,271.12224930000957,red
2,2e-06,0,blue,1,1,success,3242.0,276.0232986000192,41,234.49630569998408,blue
